"year","month","CC","EC","LC","OSF","WO"
1960,7,18.0461597442627,17.91481590271,18.7518348693848,19.0733699798584,15.5538921356201
1960,8,15.5052328109741,15.5509147644043,15.849157333374,15.9006414413452,13.048586845398
1960,9,13.2560815811157,13.4029493331909,13.92564868927,13.9090728759766,10.7844133377075
1960,10,5.5431809425354,5.61870908737183,6.06689310073853,6.17797517776489,3.45418310165405
1960,11,-0.775864958763123,0.187979280948639,-0.856896579265594,-0.16560623049736,-2.70703744888306
1960,12,-4.8217077255249,-3.93407821655273,-4.96412467956543,-4.57309770584106,-5.63844728469849
1961,1,-3.88896346092224,-3.48728060722351,-3.80608820915222,-3.53241348266602,-4.4947361946106
1961,2,-2.35003995895386,-2.24933815002441,-2.1637852191925,-1.98150563240051,-4.53650236129761
1961,3,-1.38095808029175,-1.18186318874359,-1.11067116260529,-0.748347282409668,-3.66984796524048
1961,4,2.84699130058289,2.79152154922485,2.92299580574036,2.90710687637329,0.211318120360374
1961,5,8.65324974060059,8.66360378265381,8.66964721679688,8.90355587005615,5.9031081199646
1961,6,15.1777563095093,15.3531665802002,15.5638761520386,15.5376501083374,12.5656909942627
1961,7,17.9068126678467,18.0617980957031,18.6396255493164,18.7200298309326,15.1341066360474
1961,8,16.8159484863281,16.962760925293,17.7762012481689,18.0374050140381,14.2478723526001
1961,9,8.81068229675293,8.99311447143555,9.28692054748535,9.26246643066406,6.17192268371582
1961,10,4.95455741882324,5.15369033813477,5.13800239562988,5.38251876831055,2.9572741985321
1961,11,-2.79179573059082,-2.35782551765442,-2.73553013801575,-2.06224179267883,-4.39678049087524
1961,12,-6.92040777206421,-6.68954133987427,-6.43983268737793,-5.77446842193604,-8.97330284118652
1962,1,-7.98711252212524,-7.61833381652832,-8.17636585235596,-7.64471244812012,-8.6983528137207
1962,2,-3.21303534507751,-3.20853328704834,-3.36552238464355,-3.13386130332947,-5.21443557739258
1962,3,-3.9353985786438,-3.43175721168518,-4.38699531555176,-3.19813108444214,-6.10947465896606
