"WY","BCR","BH","BSF","LBR","LR","SF"
1985,607.930518463254,836.463469028473,751.861981153488,960.850680351257,931.641685009003,715.755253314972
1986,897.81817150116,1139.84470367432,1089.46922588348,1445.770362854,1395.19244766235,1212.15032863617
1987,457.785826683044,752.92789554596,551.681538581848,678.18375492096,647.716233253479,669.202545166016
1988,394.259353876114,616.763595581055,497.682483196259,603.268194198608,655.717661857605,608.425178527832
1989,533.32444190979,829.92184638977,663.091282367706,834.412215709686,863.536117315292,815.413543462753
1990,458.717702865601,773.285774230957,563.957584381104,689.852319717407,714.647534370422,689.320733070374
1991,617.307529449463,897.386566162109,725.460216522217,843.557717323303,859.57222366333,816.873886108398
1992,417.636646270752,641.098093032837,501.695926189423,579.527096748352,647.354299545288,613.495848655701
1993,742.710527420044,1012.51419830322,893.780143737793,1144.37201881409,1134.87854862213,973.580636978149
1994,456.690933227539,713.756903648376,560.049304366112,687.192986011505,681.09546661377,566.842585086823
1995,772.402059555054,1084.5910987854,921.935768127441,1077.45573043823,1085.43699073792,946.362283706665
1996,611.374636173248,914.790519714355,762.12602186203,853.02492660284,1003.42112851143,952.133526802063
1997,919.004680633545,1075.84482955933,1101.10195159912,1335.49234008789,1369.19283676147,1162.29192352295
1998,786.90559387207,963.802925109863,931.211330413818,1136.27572250366,1060.10350799561,878.172817230225
1999,681.763553619385,953.439392089844,811.490169525146,915.305145263672,1008.23484230042,954.836938858032
2000,455.603442192078,710.822565078735,560.351360797882,689.143993377686,702.094142913818,665.392988204956
2001,430.662011146545,674.045324325562,507.196890830994,639.705173969269,631.555513381958,528.747660636902
2002,530.199591159821,694.08922958374,625.443105220795,771.556302085519,808.978979110718,698.630079627037
2003,488.443674087524,728.637435913086,576.430126190186,611.987339019775,770.441365242004,671.7428855896
2004,575.640160560608,708.83758354187,686.291301727295,819.932250022888,863.952396392822,787.866256713867
2005,742.24261879921,969.826812744141,874.988634109497,1122.62902772427,1018.05548810959,846.923184394836
2006,690.065741539001,909.119216918945,864.461312294006,1105.67762851715,1090.3904542923,910.468494415283
2007,476.312023162842,748.809535980225,571.556130409241,723.80069732666,695.826741218567,711.348287582397
2008,536.566005468369,860.265033721924,663.831335306168,809.826374053955,848.055782556534,796.905936717987
2009,619.828722953796,900.65383720398,768.003301620483,1005.56082057953,998.797222614288,912.488723754883
2010,571.8742146492,811.78289604187,654.866806983948,736.011501789093,797.686487197876,738.66923904419
2011,946.086542129517,1242.06190872192,1104.99430656433,1349.08850860596,1296.636510849,1119.25177955627
2012,448.45989189297,636.45730316639,552.644514620304,696.145574092865,695.424005031586,676.16023015976
2013,526.709310531616,759.82666015625,602.123939588666,652.668133974075,727.425700549036,733.779892444611
2014,738.649684906006,915.988260269165,843.614944458008,923.040824890137,1005.66067504883,1040.87772369385
2015,531.692966461182,664.125553131104,626.503643035889,741.990899085999,775.247981071472,802.726011276245
2016,622.855177044868,824.525395393372,752.025292575359,867.027464389801,882.560045003891,805.3235206604
2017,901.454021930695,1038.39243221283,1089.90936088562,1278.1889128685,1356.78229427338,1186.30758190155
2018,443.853581905365,542.134925842285,529.878457188606,556.637478709221,706.31171309948,687.667682647705
2019,737.282341003418,925.279067993164,870.375065803528,1099.63087654114,1000.40992736816,856.898694515228
2020,511.708191871643,639.901964187622,632.624451160431,631.19987821579,824.911581993103,762.457055211067
2021,455.142405509949,679.19478225708,506.77356004715,507.332361698151,651.06089258194,667.03183221817
2022,602.168796539307,841.3138256073,680.585406064987,771.922353863716,833.535742044449,750.540540933609
2023,837.815311431885,993.244416236877,973.103260040283,1161.51141166687,1227.20202445984,947.91858291626
2024,645.871677875519,779.668986320496,748.080641269684,870.053453445435,922.806524276733,719.860904693604
2025,513.172399878502,656.30039024353,600.240046620369,677.694516658783,760.13486918062,697.265358924866
