"WY","BC","CC","EC","LC","MC","PC","RB"
1990,823.142889022827,614.562465667725,566.605929374695,1033.66032409668,702.313631057739,592.629804611206,591.910838127136
1991,990.78964805603,832.639400482178,764.769590854645,1162.56719017029,902.17601108551,785.959887504578,797.253186225891
1992,720.984321594238,586.313101768494,553.197195053101,858.008937835693,657.228895187378,571.420564651489,571.239283561707
1993,1279.416888237,1057.92054653168,997.718240737915,1506.54343891144,1160.09717178345,1009.54493618011,1027.69574832916
1994,861.610520362854,690.371751308441,652.011381149292,1027.97856521606,777.667531967163,673.305552959442,666.590876579285
1995,1371.38246536255,1135.76703834534,1061.4644575119,1645.52794265747,1238.61547851562,1083.84187793732,1097.1455039978
1996,1049.63414001465,859.12788850069,781.040721774101,1244.16009235382,945.705909729004,803.717466831207,814.032113671303
1997,1221.83732795715,1041.29157447815,966.531351089478,1459.80708503723,1113.51880645752,980.439208984375,996.516075134277
1998,1157.56007003784,1041.33501434326,960.224922180176,1344.55350112915,1071.63904380798,960.24408531189,994.134767532349
1999,1063.41376686096,856.107814788818,822.725416183472,1224.23285293579,980.886514663696,856.186279296875,833.736703872681
2000,815.75380897522,698.194426059723,641.653743743896,977.105362892151,753.512432098389,655.571963310242,661.767617225647
2001,803.916307449341,655.303025245667,608.310718536377,953.519157409668,731.333591461182,628.511051177979,623.992245674133
2002,894.827881813049,750.219168186188,708.528219223022,1099.25188732147,817.434879302979,725.95051574707,720.702271938324
2003,769.81895160675,601.719809532166,580.149438858032,913.373730659485,699.389122962952,600.728367805481,585.582852363586
2004,873.974143981934,793.430368423462,739.496463775635,1016.47707271576,819.79380607605,745.267286300659,758.210580825806
2005,1277.1904540062,1005.66085091233,935.701979935169,1562.13189983368,1123.54927361012,958.055462062359,971.23328089714
2006,1191.42268753052,1021.97407341003,960.206060409546,1407.71033668518,1106.44913864136,973.467936515808,983.424642562866
2007,815.21918296814,664.355409622192,642.484352111816,941.396301269531,766.556743621826,671.919862747192,649.80764579773
2008,1068.41025590897,797.565319299698,728.205224990845,1329.030626297,933.26088809967,766.229823589325,754.994945287704
2009,1081.7883682251,959.172717094421,869.801753044128,1320.43367433548,984.37999868393,868.968871116638,907.807140350342
2010,970.627229690552,782.552013397217,727.130759239197,1171.02466583252,876.290838241577,750.138897895813,753.49339389801
2011,1458.88243484497,1250.18803310394,1151.66651535034,1787.45049476624,1314.94205665588,1158.18251609802,1191.89944553375
2012,727.955115184883,586.556489557028,535.578968733549,914.210368875414,625.33406829834,545.195760183036,552.310242082924
2013,901.70029759407,731.12327003479,710.022835731506,1073.0555562973,816.60947855562,739.282178878784,717.580446243286
2014,999.727085113525,790.31764793396,754.42967414856,1197.78155517578,886.721717834473,782.809213638306,764.876125335693
2015,841.983699798584,758.554765701294,693.473226547241,992.719169616699,770.93371963501,685.945820808411,724.905689239502
2016,915.360645473003,720.30139195919,672.669258433394,1123.72907108068,808.025340139866,695.608131166548,691.033549696207
2017,1220.78469467163,1007.98576831818,948.034831523895,1475.1600856781,1095.44152450562,965.114817619324,971.569815635681
2018,723.030348181725,499.36256569624,488.129818886518,869.287423849106,628.548088669777,521.830085277557,491.985469162464
2019,1293.98091602325,1069.52335000038,1012.20401668549,1494.78690290451,1162.28561639786,1019.81526124477,1050.37836098671
2020,815.964888572693,601.701417207718,555.815095990896,1000.14829501847,705.787292122841,585.545229971409,573.113036155701
2021,773.520932197571,628.568572998047,599.599865913391,914.700345039368,706.329356193542,628.183931827545,605.850371837616
2022,948.383615493774,766.271307945251,743.579721450806,1129.59902381897,879.588914871216,778.729000091553,749.393591880798
2023,1409.2181224823,1039.09692621231,961.983985900879,1747.00725746155,1184.12990665436,1000.95388507843,995.822407245636
2024,1064.42997932434,894.433603286743,820.770481586456,1313.99488282204,949.103219747543,832.767207622528,847.356909751892
2025,810.271985650063,664.208547234535,624.158881425858,1015.50836539268,727.614240050316,638.785478711128,634.425883412361
