"WY","BC","CC","EC","LC","MC","PC","RB"
1968,3.6277564347116,6.30069032914,6.61640927749253,3.00239559920515,4.66215471247506,5.9698206117425,6.36252602869696
1969,3.84928529425843,6.68320017514163,7.04781411371819,3.10747668612493,4.90397215869329,6.35089676935379,6.75754758233893
1970,3.32964890738056,6.06200559955754,6.47134528409128,2.51559664664203,4.37043107568401,5.82014491733623,6.16800955370681
1971,3.16173826211119,5.99759500794215,6.45196207353514,2.25732858964842,4.23798743666035,5.79803414867349,6.13131544614491
1972,3.57666063899062,6.27742871234977,6.57699499885893,2.68328994052495,4.58380836867244,5.93284747281361,6.3442435173389
1973,2.9811609496809,5.69320258685987,6.01229855101811,2.11348195075989,4.01673457981789,5.37112781642235,5.75310398830126
1974,4.09031040897108,6.93933268654836,7.25946806391625,3.28477811388773,5.16373139440197,6.56653456361326,6.98724460373186
1975,2.77500992474491,5.59524798099309,5.93690560476421,1.95059215859191,3.84879271575849,5.26428746866853,5.64235302103709
1976,3.73486245199631,6.41241735675947,6.59775817785107,3.1070034222199,4.70984310921424,5.94012578002742,6.36172296701233
1977,4.25589962299556,7.0075615641189,6.96313371331724,3.56497270130131,5.21826376588377,6.25583700872447,6.88363021987758
1978,4.24154498369931,7.23352825282371,7.6670715230785,3.55520215748924,5.34219848989216,6.94924927704955,7.2817006930913
1979,3.53351205244456,6.32590213867083,6.64883910776818,2.95504191183064,4.57972122381811,5.95275576179975,6.31639611329118
1980,4.03801046694563,6.83335126969007,7.09749071975875,3.40541485098542,5.1112097628781,6.42736982191847,6.82088366256711
1981,5.70871800984422,8.27193818337297,8.28674664970947,5.01301823070605,6.68337757585392,7.67576412146222,8.19443631662081
1982,3.5513207879785,6.45238172477239,6.73729478855656,2.73530119053305,4.63946521886407,6.05223590807147,6.48178894372836
1983,3.5315418589605,6.36581558430032,6.71838007806099,2.68911924950064,4.65971117329924,6.10745784779118,6.42284441010593
1984,3.416579748112,6.02565860862289,6.25725987887448,2.64683273190358,4.47148908748001,5.71828671491863,6.03547293387476
1985,3.72475637442445,6.42770874402294,6.73934186541871,2.89461552129216,4.84625671269142,6.18523500969965,6.52664342432296
1986,4.84441080354664,7.66434740991625,7.90140234615705,3.94464524216848,6.08135508119243,7.45445504864193,7.82153559939502
1987,4.70483053155141,7.40686741414135,7.65466089411958,3.85216200123095,5.77522076743923,7.04806607283958,7.4281893901629
1988,4.9718600671148,7.77905407975443,8.15686370456805,4.05312814412873,6.20569213198834,7.67772310920304,7.98888726670885
1989,4.88870661593463,7.49692755104744,7.90871485488056,3.94415240206131,6.03663977988779,7.44458170982256,7.72524507633627
1990,5.23423114896637,7.87382311559703,8.39896797545969,4.3823024785682,6.43602676489582,7.9727895599522,8.18429977861169
1991,3.95354110721039,6.45535003420425,6.92867691614856,3.18780426423844,4.96477931452124,6.34904872048391,6.58598764187669
